Time,Data_Filt_E0,Data_Filt_E1,Data_Filt_E6,Data_Filt_CD,On-set
0.0,3.334850526922172e-07,2.763055162628308e-07,2.3400055710667322e-07,1.5484411955878115e-05,0.0
0.001,3.3783594530374937e-07,2.781424718893946e-07,2.3573281885324666e-07,1.5514241286007238e-05,0.0
0.002,3.4247318584364337e-07,2.800630994790332e-07,2.374382959267249e-07,1.553263064628675e-05,0.0
0.003,3.474264747184552e-07,2.820907047846279e-07,2.391077221689157e-07,1.553975454731993e-05,0.0
0.004,3.527354071301327e-07,2.8425664959337135e-07,2.407329575541652e-07,1.5535894552767686e-05,0.0
0.005,3.584411684372293e-07,2.865943279810276e-07,2.423063137945685e-07,1.552136721649083e-05,0.0
0.006,3.645809032806699e-07,2.891340938547592e-07,2.4382071040135624e-07,1.549648968321211e-05,0.0
0.007,3.711830748759959e-07,2.918989845954969e-07,2.452700959610568e-07,1.546160533308021e-05,0.0
0.008,3.7826456794521836e-07,2.949029938740592e-07,2.4664885443183897e-07,1.5417180032857032e-05,0.0
0.009000000000000001,3.858299226300415e-07,2.981524586458615e-07,2.479515723035311e-07,1.5364016631234768e-05,0.0
0.01,3.938715143281326e-07,3.016485885145819e-07,2.491741628718977e-07,1.5303448928929725e-05,0.0
0.011,4.023704749505471e-07,3.053887360089186e-07,2.503148276465904e-07,1.523731525509924e-05,0.0
0.012,4.1129866116313314e-07,3.093658728003244e-07,2.5137347970502573e-07,1.5167758225157713e-05,0.0
0.013000000000000001,4.206212292086735e-07,3.1356812405417855e-07,2.523507209614006e-07,1.5097009767459456e-05,0.0
0.014,4.302993420670969e-07,3.179808811400417e-07,2.532477893427905e-07,1.5027225360218602e-05,0.0
0.015,4.402926764794453e-07,3.225917745786781e-07,2.5406698281835936e-07,1.4960365675521633e-05,0.0
0.016,4.505611720308125e-07,3.273955096038761e-07,2.548114522819362e-07,1.4898117585117856e-05,0.0
0.017,4.610733087276082e-07,3.323981914899433e-07,2.554844502990864e-07,1.4841900375858805e-05,0.0
0.018000000000000002,4.718312618366806e-07,3.376251659784015e-07,2.560892004171698e-07,1.479303029600697e-05,0.0
0.019,4.828959700301559e-07,3.4312918748044285e-07,2.5662936754270986e-07,1.475292060922492e-05,0.0
0.02,4.943837650433973e-07,3.48989043926707e-07,2.5710909690922645e-07,1.4723093112562383e-05,0.0
0.021,5.064422842991817e-07,3.552984139055138e-07,2.575324045275256e-07,1.4705066066364724e-05,0.0
0.022,5.192287223167903e-07,3.621535616807762e-07,2.5790205748160604e-07,1.4700305836923092e-05,0.0
0.023,5.328942130383638e-07,3.69644591275664e-07,2.5821854459464773e-07,1.4710192748231692e-05,0.0
0.024,5.475711330566175e-07,3.778490449486764e-07,2.584798480470591e-07,1.473588880726602e-05,0.0
