Time,Data_Filt_E0,Data_Filt_E1,Data_Filt_E6,Data_Filt_CD,On-set
0.0,5.19221789811792e-07,5.622863329868659e-07,4.198569465252863e-07,1.3795515154833231e-05,0.0
0.001,5.190667884202668e-07,5.600460326064529e-07,4.216754713469319e-07,1.359399649441816e-05,0.0
0.002,5.186452798996146e-07,5.579180953873519e-07,4.233747085045874e-07,1.3408308700465278e-05,0.0
0.003,5.179439551496334e-07,5.5594068908874e-07,4.249667871476178e-07,1.3246428719672786e-05,0.0
0.004,5.169560280273517e-07,5.541509919188595e-07,4.264668214270237e-07,1.3118535451268657e-05,0.0
0.005,5.156810163329618e-07,5.525802959848469e-07,4.278901852170632e-07,1.3035802785197916e-05,0.0
0.006,5.141232248433834e-07,5.512532761266608e-07,4.292505808259167e-07,1.3009415623472135e-05,0.0
0.007,5.122899341871955e-07,5.501890371831961e-07,4.3055946371155116e-07,1.3049596529076058e-05,0.0
0.008,5.101903428931677e-07,5.49401503424183e-07,4.318259472615244e-07,1.3164864940571354e-05,0.0
0.009000000000000001,5.078352767968649e-07,5.488994757847961e-07,4.330560447042342e-07,1.3361840779036313e-05,0.0
0.01,5.052372074029273e-07,5.48688370709244e-07,4.342530491817494e-07,1.364548302410868e-05,0.0
0.011,5.024097219823413e-07,5.487726357971717e-07,4.354184308219571e-07,1.4019457690923797e-05,0.0
0.012,4.993667037709116e-07,5.491560354454971e-07,4.365507152690749e-07,1.4486465917364422e-05,0.0
0.013000000000000001,4.961229365884463e-07,5.498415462494859e-07,4.376443617050912e-07,1.5048502719010907e-05,0.0
0.014,4.92695752184657e-07,5.508325105445547e-07,4.386907219630167e-07,1.5707046641704974e-05,0.0
0.015,4.891052321885837e-07,5.521319489658199e-07,4.396798165404033e-07,1.6463168324948033e-05,0.0
0.016,4.853733863051812e-07,5.537388720390474e-07,4.406019916516082e-07,1.7317647550668628e-05,0.0
0.017,4.815257618623355e-07,5.556463173941607e-07,4.414513291226902e-07,1.827201583955204e-05,0.0
0.018000000000000002,4.775963353796857e-07,5.578458560459863e-07,4.4223514254230027e-07,1.933149976081843e-05,0.0
0.019,4.736297416183976e-07,5.603344405913096e-07,4.429856897896582e-07,2.050789261785239e-05,0.0
0.02,4.6967529760496114e-07,5.631161850024393e-07,4.437613830237515e-07,2.1819219746611443e-05,0.0
0.021,4.657782351191381e-07,5.662018144823359e-07,4.44636316434889e-07,2.328686977775561e-05,0.0
0.022,4.619767945493273e-07,5.696104650218402e-07,4.4568783639689174e-07,2.4932715817163967e-05,0.0
0.023,4.583050475890249e-07,5.733702789246623e-07,4.469868764528888e-07,2.6776893315767684e-05,0.0
0.024,4.547963249378708e-07,5.775156933864745e-07,4.4859191919333966e-07,2.8836070343530147e-05,0.0
0.025,4.5148438781943793e-07,5.820831738063011e-07,4.505464849587134e-07,3.1122231212763106e-05,0.0
0.026000000000000002,4.48401985995666e-07,5.871052358191313e-07,4.528791350423479e-07,3.364210941608513e-05,0.0
0.027,4.4557816433272635e-07,5.92604351038146e-07,4.556054044615015e-07,3.6397442951858566e-05,0.0
0.028,4.430362784096156e-07,5.98590971561951e-07,4.5872961977223483e-07,3.9385880661453765e-05,0.0
0.029,4.407931714308794e-07,6.050660190388729e-07,4.622452932186403e-07,4.260210102930524e-05,0.0
0.03,4.388600888692754e-07,6.120231597943419e-07,4.661355686393675e-07,4.603879681628722e-05,0.0
0.031,4.3724478660242843e-07,6.194485245152685e-07,4.703747924160074e-07,4.968741925932969e-05,0.0
0.032,4.359519712703603e-07,6.273204824799952e-07,4.749313999185505e-07,5.353871002817431e-05,0.0
0.033,4.349830910945212e-07,6.356104905226665e-07,4.797714340939033e-07,5.7583087204106045e-05,0.0
0.034,4.3433936470578325e-07,6.442834716204515e-07,4.848616962720013e-07,6.18111057914105e-05,0.0
